date,Number of Appliances,lights,Energy used,Kitchen Temperature (in celsicus),Kitchen Humidity,Living Room Temerature (in celsius),Living room Humidity,Laundry Temperature (in celsius),Laundry Humidity,Office room Temperature (in celsius),Office room Humidity,Bathroom Temperature (in celsius),Bathroom Humidity,Temperature outside building (North side),Humidity outside building (North side),Ironing Room Temperature,Ironing Room Humidity,Teenager room temperature,teenager room humidity,Parent room Temperature,Temperature Outside,Pressure in mm Hg,Humidity Outside,Windspeed,Visibility,Tdewpoint,Random variable 1,non dimensional random variable
1/11/2016 17:00,60,30,19.89,47.6,19.2,44.79,19.79,44.73,19,45.57,17.17,55.2,7.03,84.26,17.2,41.63,18.2,48.9,17.04,45.53,6.60E+00,733.5,92,7,63,5.30E+00,13.28,13.28
1/11/2016 17:10,60,30,19.89,46.7,19.2,44.73,19.79,44.79,19,46,17.17,55.2,6.84,84.07,17.2,41.56,18.2,48.87,17.07,45.56,6.48E+00,733.6,92,6.67,59.17,5.20E+00,18.61,18.61
1/11/2016 17:20,50,30,19.89,46.3,19.2,44.63,19.79,44.94,18.93,45.89,17.17,55.09,6.56,83.16,17.2,41.44,18.2,48.73,17,45.5,6.37E+00,733.7,92,6.34,55.34,5.10E+00,28.65,28.65
1/11/2016 17:30,50,40,19.89,46.07,19.2,44.59,19.79,45,18.89,45.73,17.17,55.09,6.44,83.43,17.14,41.29,18.1,48.59,17,45.4,6.25E+00,733.8,92,6,51.5,5.00E+00,45.42,45.42
1/11/2016 17:40,60,40,19.89,46.34,19.2,44.53,19.79,45,18.89,45.53,17.2,55.09,6.37,84.9,17.2,41.23,18.1,48.59,17,45.4,6.13E+00,733.9,92,5.67,47.67,4.90E+00,10.09,10.09
1/11/2016 17:50,50,40,19.89,46.03,19.2,44.5,19.79,44.94,18.89,45.73,17.14,55.03,6.3,85.77,17.14,41.26,18.1,48.59,17,45.29,6.02E+00,734,92,5.34,43.84,4.80E+00,44.92,44.92
1/11/2016 18:00,60,50,19.89,45.77,19.2,44.5,19.79,44.9,18.89,45.79,17.1,54.97,6.27,86.09,17.14,41.2,18.1,48.59,17,45.29,5.90E+00,734.1,92,5,40,4.70E+00,47.24,47.24
1/11/2016 18:10,60,50,19.86,45.56,19.2,44.5,19.73,44.9,18.89,45.87,17.1,54.9,6.19,86.43,17.1,41.2,18.1,48.59,17,45.29,5.92E+00,734.17,91.84,5.17,40,4.68E+00,33.04,33.04
1/11/2016 18:20,60,40,19.79,45.6,19.2,44.44,19.73,44.79,18.89,45.79,17.17,55,6.13,87.23,17.17,41.4,18.1,48.59,17,45.29,5.93E+00,734.24,91.67,5.34,40,4.67E+00,31.46,31.46
1/11/2016 18:30,70,40,19.86,46.09,19.23,44.4,19.79,44.87,18.89,46.1,17.1,55,6.19,87.63,17.2,41.5,18.1,48.59,17,45.29,5.95E+00,734.3,91.5,5.5,40,4.65E+00,3.09,3.09
1/11/2016 18:40,230,70,19.93,45.87,19.36,44.4,19.79,44.9,18.89,46.43,17.1,55,6.19,87.87,17.25,42.72,18.1,48.59,17,45.29,5.97E+00,734.37,91.34,5.67,40,4.63E+00,10.3,10.3
1/11/2016 18:50,580,60,20.07,46.4,19.43,44.4,19.79,44.83,19,46.43,17.1,55,6.13,88,17.53,44.27,18.07,48.64,16.89,45.29,5.98E+00,734.44,91.17,5.84,40,4.62E+00,8.83,8.83
1/11/2016 19:00,430,50,20.14,48,19.57,44.4,19.89,44.9,19,46.37,17.1,55.09,6.13,88.59,17.83,45.5,18.07,48.56,16.97,45.29,6.00E+00,734.5,91,6,40,4.60E+00,34.36,34.36
1/11/2016 19:10,250,40,20.26,52.73,19.73,45.1,19.89,45.5,19,47.23,17.1,55.17,6.07,88.22,17.97,46.16,18.04,48.67,16.89,45.33,6.00E+00,734.62,90.5,6,40,4.52E+00,19.21,19.21
1/11/2016 19:20,100,10,20.43,55.9,19.86,45.84,20.04,47.53,19,48.7,17.1,55.5,5.9,88.16,17.97,45.54,18.1,49.2,16.89,45.35,6.00E+00,734.74,90,6,40,4.43E+00,38.5,38.5
1/11/2016 19:30,100,10,20.57,53.9,20.04,46.76,20.1,48.47,19,48.49,17.15,56.05,5.8,88.37,17.89,44.93,18.15,49.2,16.89,45.33,6.00E+00,734.85,89.5,6,40,4.35E+00,24.89,24.89
1/11/2016 19:40,90,10,20.73,52.66,20.17,47.23,20.2,48.53,18.93,48.16,17.17,56.49,5.73,88.16,17.76,44.27,18.23,49.64,16.89,45.29,6.00E+00,734.97,89,6,40,4.27E+00,35.89,35.89
1/11/2016 19:50,70,30,20.86,53.66,20.2,47.06,20.2,48.45,18.89,47.97,17.2,56.94,5.53,87.3,17.7,43.73,18.36,50.03,16.89,45.29,6.00E+00,735.09,88.5,6,40,4.18E+00,49.6,49.6
1/11/2016 20:00,80,30,20.89,51.2,20.2,46.33,20.2,48.2,18.97,48.63,17.2,57.06,5.34,86.76,17.67,43.16,18.54,50.2,16.89,45.2,6.00E+00,735.2,88,6,40,4.10E+00,19.01,19.01
1/11/2016 20:10,140,40,20.89,49.8,20.2,46.03,20.17,47.64,19.04,49.5,17.6,70.73,5.34,87.47,17.6,42.7,18.67,50.26,16.89,45.2,6.00E+00,735.24,87.84,6,40,4.07E+00,38.88,38.88
1/11/2016 20:20,120,20,20.89,48.44,20.2,45.73,20.17,47.3,19.18,49.95,18.07,79,5.47,87.53,17.6,42.34,18.73,50.23,16.89,45.13,6.00E+00,735.27,87.67,6,40,4.03E+00,46.74,46.74
1/11/2016 20:30,190,40,20.97,47.64,20.26,45.53,20.2,47.03,19.26,49.7,17.67,79.73,5.5,86.96,17.54,42.07,18.86,50.29,16.89,45.13,6.00E+00,735.3,87.5,6,40,4.00E+00,10.61,10.61
1/11/2016 20:40,110,40,21.04,47.07,20.29,45.23,20.26,46.83,19.33,49.17,17.6,79.26,5.56,86.57,17.64,43.64,18.89,50.17,16.89,45.06,6.00E+00,735.34,87.34,6,40,3.97E+00,32.59,32.59
1/11/2016 20:50,110,40,21.1,46.6,20.36,44.97,20.29,46.64,19.39,48.43,17.57,78.4,5.63,86.33,17.76,43.64,18.97,50.03,16.89,45,6.00E+00,735.37,87.17,6,40,3.93E+00,6.28,6.28
1/11/2016 21:00,110,30,21.14,46.06,20.43,44.76,20.29,46.44,19.39,48.2,17.76,82.46,5.77,86.07,17.86,43.46,19,49.76,16.89,44.97,6.00E+00,735.4,87,6,40,3.90E+00,13.37,13.37
1/11/2016 21:10,110,20,21.2,45.8,20.5,44.76,20.39,46.23,19.39,47.8,18.36,82.59,5.66,85.59,17.79,43.4,19.07,49.7,16.89,44.9,5.93E+00,735.47,87.17,6,40,3.87E+00,19.31,19.31
1/11/2016 21:20,100,30,21.29,45.9,20.54,45.09,20.39,46.09,19.39,47.56,18.36,70.99,5.53,85.73,17.89,43.79,19.14,49.64,16.89,44.79,5.87E+00,735.54,87.34,6,40,3.83E+00,0.67,0.67
1/11/2016 21:30,100,20,21.36,45.83,20.67,45.17,20.39,46.09,19.39,47.5,18.6,62.43,5.44,86.33,17.89,43.79,19.2,49.44,16.89,44.79,5.80E+00,735.6,87.5,6,40,3.80E+00,19.12,19.12
1/11/2016 21:40,100,20,21.39,45.69,20.7,45.06,20.39,46.09,19.43,48,18.67,59.03,5.5,86.6,17.89,43.7,19.23,49.4,16.89,44.7,5.73E+00,735.67,87.67,6,40,3.77E+00,43.49,43.49
1/11/2016 21:50,100,20,21.5,45.34,20.7,44.94,20.39,46.06,19.57,48.47,18.83,56.73,5.59,86.47,17.87,43.57,19.29,49.33,16.89,44.7,5.67E+00,735.74,87.84,6,40,3.73E+00,17.02,17.02
1/11/2016 22:00,110,20,21.5,45.13,20.79,44.64,20.39,46,19.67,48.1,18.97,55.34,5.59,86.33,17.79,43.4,19.29,49.17,16.83,44.59,5.60E+00,735.8,88,6,40,3.70E+00,24.11,24.11
1/11/2016 22:10,400,20,21.54,44.97,20.79,44.36,20.43,45.94,19.6,47.5,19.04,54.1,5.66,86.23,17.79,43.23,19.36,49.03,16.83,44.53,5.65E+00,735.89,87.84,6.17,40,3.72E+00,29.98,29.98
